index,sentence,LB,UB,Currency,Rate
5018,"Net Worth : $ 55,000","55,000","55,000",$,-
5019,cost ( $ 600.00 ) . Two months later over 100 patients had to be,100,-,-,-
5020,"For Yankee fans the question is , did the 40 million dollar premium , buy 40 million dollars worth of motivation or 40 million dollars worth of indifference .",40 million,40 million,dollars,-
5021,"8 - 10 ) , and Large ( Dress Size 10 - 12 ) . Sell for $ 239.95 .",8,10,-,-
5022,"Crucial 512 MB Compact Flash Card $ 1.99 * ( US ) $ 6.99 * ( CA ) Price after $ 15 MIR , rebate expires 09 / 04 / 06",1.99,1.99,$,-
5023,Adobe Acrobat 7 MACRetail Price:$ 449.96 Our Price:$ 59.96 You Save:$ 390,449.96,449.96,$,-
5024,"The Daily Brunei Resources : Would you pay US$ 250,000 for this ?","250,000","250,000",$,-
5025,brackets that cost $ 50 per bracket ),50,50,$,bracket
5026,Scenic Tile ( 0871801 ) - Reg . Price $ 13.00 - OUR PRICE,13.00,13.00,$,-
5027,Ham String Stretch Price : $ 32.00,32.00,32.00,$,-
5028,"area generally cost around $ 120,000 a year and you may be completely","120,000","120,000",$,-
5029,and XLarge ( Dress Size 14 - 16 ) . Sells for $ 49.95 .,14,16,-,-
5030,"Required Net Worth : $ 100,000 +","100,000","100,000",$,-
5031,"Color : Tan , Sorrel , Gray , Gold Gender : Male Price : $ 450",450,450,$,-
5032,"Up in Flames : The Art of Flame PaintingAuthors : Tim Phelps , Sam RadoffList Price:$ 34.95 Buy Used:$ 6.00 You Save:$ 28.95 ( 83 % )",34.95,34.95,$,-
5033,"expensive ( total cost of just these forty is more than $ 3,900 ) , and the price is a bit","3,900",-,$,-
5034,"Price : $ 8 at the door , ride COTA to the Wexner Center and get $ 3 off",8,8,$,-
5035,Best Price$ 5.97 $ 67.20Compare prices,5.97,5.97,$,-
5036,"For Sell nokia n 96 16 GB $ 300 usd , Samsung Omnia i 900 $ 300 usd 20 09 - 01 - 09 21 : 26 : 44",300,300,$,-
5037,Both screen and provide HDC - ABMT . This reduces deaths to 2.86 % and costs $ 2303 per employee .,2303,2303,$,employee
5038,"redtupe.com valuation by websiteoutlook . redtupe.com Estimated Worth $ 3255.8 USD . Now Check Your Website Worth , daily pageview and monthly possible Gambar Mawi Kahwin Di Johor Felda Andak",3255.8,3255.8,$,-
5039,The Foundations class costs $ 100 for tuition and $ 100 for lodging and meals . Many people join our classes with little or no airbrushing experience .,100,100,$,-
5040,Price : $ 8.00,8.00,8.00,$,-
5041,( Worth $ 24.97 ),24.97,24.97,$,-
5042,Copies are available from AGI at a list price of $ 9.95 . Members of AGI member societies receive a 20 % discount . Orders may be placed,9.95,9.95,$,-
5043,Price : $ 189.00 plus tax Sunday - Thursday,189.00,189.00,$,-
5044,"In 1930 , a 1,000 -mile plane trip cost $ 83 ,",83,83,$,-
5045,employee 's regular rate of pay is $ 15 per hour ( $ 525 divided by 35,15,15,$,hour
5046,iPhone Tethering : AT&T May Shock Us All and Charge $ 10 Digg tags : Apple,10,10,$,-
5047,"Age : 0.33 Color : Brown , Black , White Gender : Male Size : Small Price : $ 40",40,40,$,-
5048,Instant Immersion : Italian 1.5 on cassetteOur Price : $ 14.99,14.99,14.99,$,-
5049,"Cape Coral Florida!SE Cape CoralAsking Price : $ 324,000","324,000","324,000",$,-
5050,This Service costs $ 360.00 .,360.00,360.00,$,-
5051,Home News Oil Discovery worth $ 11.9 billion to Albania,11.9 billion,11.9 billion,$,-
5052,Estimated labor cost ( 20 hrs . @ $ 11.50 ) $ 230 $ _ _ _ _ _ _ _ _ _ _ _,11.50,11.50,$,-
5053,Price : $ 20.75 ( 5 Bids)Sale Ends : 1 h 50 m,20.75,20.75,$,-
5054,Price:$ 249.95,249.95,249.95,$,-
5055,"sports . Each scholarship is worth $ 7,500 . According to the award 's","7,500","7,500",$,-
5056,"Eastern Michigan University to pay $ 350,000 in federal fines over Laura Dickinson case","350,000","350,000",$,-
5057,Price : $ 2.89 per Yard .,2.89,2.89,$,Yard
5058,Amazonn Retail Price - $ 6720 save - $ 6590.05 autodesk 2008,6590.05,6590.05,$,-
5059,image ) may cost $ 3500 . and several days of planning and production to,3500,3500,$,-
5060,Price : $ 19.00 ( 1 Bids)Sale Ends : 12 h 46 m,19.00,19.00,$,-
5061,Cost : $ 5.00 each - 16 ounces,5.00,5.00,$,each
5062,Charges $ 792.28 USD,792.28,792.28,$,-
5063,"cost savings of $ 1.6 billion by the end of 2002 , before one - time",1.6 billion,1.6 billion,$,-
5064,Sheer Stocking Beige Queen SzOur Price : $ 1.80 More DetailsBUY NOWSheer nylon stockings in beige . Queen size .,1.80,1.80,$,-
5065,Come in and enjoy our many open games for the low price of $ 5 .,5,5,$,-
5066,Evening projection ( for Wednesdays average retail heating oil price per gallon ) : UP $ 0.05 to $ 0.06,0.05,0.06,$,gallon
5067,Sterling Silver Black Handbag Charm w/ Cubic Zirconia AccentBrand : Amazon.com CollectionList Price:$ 25.00 Buy New:$ 6.99 You Save:$ 18.01 ( 72 % ),25.00,25.00,$,-
5068,Breitling Windrider Cockpit Lady Diamond Steel Brown Strap Ladies Watch A 7135612 Our Price $ 228.00,228.00,228.00,$,-
5069,Seminary community . The Seminary students are all on a full scholarship . It costs about $ 2500 a year . The,2500,2500,$,year
5070,"Jezebel Stripe Hype Camisoles price decreased 62 % from $ 26.00 to $ 9.99 ! December 28 , 2008",26.00,9.99,$,-
5071,I?ll pay $ 20 if someone can introduce me to someone else who ( a ),20,20,$,-
5072,"SeaRay Sundancer Pre - Spring Price , Must Sell - $ 8 - ( Denver ) pic",8,8,$,-
5073,"Second place - prices : 1 month for $ 70 , 3 months for $ 180 , 6 months for $ 300 .. -n / a",180,180,$,-
5074,Price : $ 600.00 ( 0 Bids)Sale Ends : 4 d 6 h 31 m,600.00,600.00,$,-
5075,Base Price $ 124.95,124.95,124.95,$,-
5076,Gloves WerewolfOur Price : $ 6.00 More DetailsBUY NOWCloth glove with attached latex for a 3-D realistic look .,6.00,6.00,$,-
5077,that same ton in the landfill would cost well over $ 100.00 . This is a,100.00,-,$,-
5078,"My All in All , Large PrintAuthor : Robert MorganOur Price : $ 13.99",13.99,13.99,$,-
5079,Boat Price ( $ 1000 ' s ) :,1000,1000,$,-
5080,is $ 99 plus tax ( $ 105.44 ) . The renewal price is $ 84 plus tax ( $ 89.46 ) .,99,99,$,-
5081,Price : $ 24.50 ( 1 Bids)Sale Ends : 3 d 10 h 19 m,24.50,24.50,$,-
5082,"Download Steinberg Nuendo v 3.0.2.623 , for cheapest price - $ 79.95",79.95,79.95,$,-
5083,"Internet . This site consistently sells Alpacas for $ 15,000 - $ 45,000","15,000","45,000",$,-
5084,"construction costs of $ 105 million , an operational life of 30 years , and 200 permanent jobs . The",105 million,105 million,$,-
5085,CD Price : $ 15 [ + S&H ],15,15,$,-
5086,"a special , unframed , unmatted lithograph ( worth $ 50 ) ,",50,50,$,-
5087,Price:$ 350.00 ( Item : IND V 16 - 5 ),16,5,-,-
5088,Measurement microphones - Part 4 : Specifications for working standard microphones . Price : $ 56.00 .,56.00,56.00,$,-
5089,Breed : Pit Bull Terrier Age : 6 Gender : Male Size : Small Price : $ 60,60,60,$,-
5090,Return Shipping : Total shipping cost is about $ 15 in the continental US for the average quilt .,15,15,$,-
5091,"Nabors Prices $ 1.125 Billion in Senior Unsecured Debt OfferingWed Jan 7 , 4 : 51 PM",1.125 Billion,1.125 Billion,$,-
5092,"be necessary to pay the $ 35 application fee , nor secure transcripts unless",35,35,$,-
5093,"Managing God 's Money - The Basics , Workbook : Become a Good Manager of God 's ResourcesAuthor : Michel A. BellOur Price : $ 8.99",8.99,8.99,$,-
5094,worth $ 135 ? You do have the chance to talk with and watch a professional,135,135,$,-
5095,appears once the$ 35.00 minimum is reached ) and a charge of $ 0.00,0.00,0.00,$,-
5096,The balance of the class costs only $ 600 * per student producer . This includes all class,600,600,$,student
5097,NARCISSUS / Jeanette Crews by Jeanette Crews . Young lady holding bouquet of narcissuses & wearing a beautiful dress . CB 4145 PRICE : $ 5.95,5.95,5.95,$,-
5098,Price:$ 199.95,199.95,199.95,$,-
5099,Microsoft Windows Vista Business Retail Price $ 299.00 Our Price $ 79.95 You save $ 219.05,299.00,299.00,$,-
5100,New Mexico StickersIn StockAvg . Retail Price : $ 1.20 Our Price : $ 0.77,1.20,1.20,$,-
5101,"Georgetown Gtx Toy Hauler Motorhome Class A @ Cost ! $ 2,000.00","2,000.00","2,000.00",$,-
5102,Cost : $ 30 for non - members . Save over 15 % by becoming a member of APHE . Join now !,15,-,-,-
5103,"The founder and software maker of the popular online gaming site , PartyGaming , has pleaded guilty to illegal internet gambling and will pay $ 300 million in fines .",300 million,300 million,$,-
5104,I think ) . The price was $ 89 . for the ride ( but you can get a discount,89,89,$,-
5105,"Price : $ 2,600 Not shippable . Pickup Creekside Gallery .","2,600","2,600",$,-
5106,Oakton InstrumentsCompact IR Thermometermore infoPrice:$ 49.95 Sale price:$ 44.95 Savings:$ 5 ( 10.01 % ),49.95,49.95,$,-
5107,John Newton : From Disgrace to Amazing GraceAuthor : Jonathan AitkenOur Price : $ 15.99,15.99,15.99,$,-
5108,The European corporate training market was worth $ 640 million in 1997,640 million,640 million,$,-
5109,Daisuke Matsuzaka to a two year contract worth more than $ 2 million . For,2 million,-,$,-
5110,Microsoft LifeCam VX- 3000 ( 68 A- 00001 ) Brand : MicrosoftList Price:$ 49.99 Buy New:$ 19.95 You Save:$ 30.04 ( 60 % ),49.99,49.99,$,-
5111,"Price$ 1,240 $ 800 $ 1,295 $ 855","1,240","1,240",$,-
5112,"Everywhere Zip VestDate Added : Tuesday 25 November , 2008 Designer Line : Price : $ 158.00",158.00,158.00,$,-
5113,Woman faces assault charges over $ 100 bill,100,-,$,-
5114,HSN Price : $ 59.00 Event Price : $ 49.00,59.00,59.00,$,-
5115,Wired ( 1 -year)Publisher : Conde Nast PublicationsList Price:$ 59.88 Buy New:$ 10.00 You Save:$ 49.88 ( 83 % ),59.88,59.88,$,-
5116,"Color : Brown , Gray Size : Small Price : $ 550",550,550,$,-
5117,"Price : $ $ 25,000.00","25,000.00","25,000.00",$,-
5118,Amazon.com 's Price:$ 17.95 Prices subject to change . Third Party New Price : $ 17.95,17.95,17.95,$,-
5119,On Talking Terms With Dogs : Calming SignalsAuthor : Turid RugaasList Price:$ 12.95 Buy New:$ 7.28 You Save:$ 5.67 ( 44 % ),12.95,12.95,$,-
5120,Price : $ 12.99 ( 0 Bids)Sale Ends : 2 d 10 h 2 m,12.99,12.99,$,-
5121,Gnome & Fairy Doors Large Gnome Fairy Door Sale Price : $ 35.99,35.99,35.99,$,-
5122,Time : 12 : 00 p.m. - 5 : 00 p.m. Cost : $ 40.00 ( Includes bike,40.00,40.00,$,-
5123,"Fox Television turned him into "" Joe the eligible bachelor supposedly worth $ 50 million , Evan Marriott earned",50 million,50 million,$,-
5124,Price : $ 750.00 ( 0 Bids)Sale Ends : 4 d 17 h 53 m,750.00,750.00,$,-
5125,"person would be worth $ 11,000 . The average American is worth $ 60,000 , and the average","11,000","11,000",$,-
5126,"The only Cardinal to avoid arbitration by signing a deal was Rick Ankiel , who signed a 1 -year pack worth $ 900,000 .","900,000","900,000",$,-
5127,"Jeep Expands Diesel Grand Cherokee Offerings , Drops Price $ 1,000","1,000","1,000",$,-
5128,Coverking CSC 1 A 2 TT 7299 Charcoal Leatherette Custom Seat CoverBrand : CoverkingList Price:$ 240.00 Buy New:$ 200.00 You Save:$ 40.00 ( 17 % ),240.00,240.00,$,-
5129,THE BEGINNER GUIDE TO YOGA 9780764125829 List Price : $ 14.99 Web price : $ 13.49Related Title(s):HOT YOGAHoward Kent - All books by this author,14.99,14.99,$,-
5130,Non Members Price : $ 120.00,120.00,120.00,$,-
5131,"Learn how to "" close "" your strung beads by crimping . You 'll create a floating crimped bracelet or necklace . Price is $ 25 .",25,25,$,-
5132,wireless iSuppli Estimate : iPhone 3 G Costs About $ 173 to Manufacture,173,173,$,-
5133,Indiana plant will cost approximately $ 10 million . The new plant,10 million,10 million,$,-
5134,"A total of $ 50,000 will be awarded to students and teachers . The grand prize is worth $ 5,000 . Winners will be announced March 10 .","5,000","5,000",$,-
5135,"Price : $ 900 in sterling silver , 1 "" wide .",900,900,$,-
5136,Price : $ 2.99 ( 1 Bids)Sale Ends : 7 h 51 m,2.99,2.99,$,-
5137,"Synovi G 3 Soft Chews , 120 CountBrand : DVMList Price:$ 48.99 Buy New:$ 23.59 ( On sale from $ 48.75 ) You Save:$ 25.16 ( 52 % )",48.75,48.75,$,-
5138,Sale Price : US $ 489.95,489.95,489.95,$,-
5139,Cluzzle GameBrand : North Star GamesList Price:$ 29.99 Buy New:$ 9.99 You Save:$ 20.00 ( 67 % ),29.99,29.99,$,-
5140,Joyeux Noel ( Widescreen)Studio : Sony PicturesList Price:$ 14.94 Buy New:$ 7.60 You Save:$ 7.34 ( 49 % ),14.94,14.94,$,-
5141,Added in a Japanese made slow fall worth S$ 120 to,120,120,$,-
5142,Cranium Hullabaloo will be available in fall 2003 for a suggested retail price of $ 24.95 .,24.95,24.95,$,-
5143,Suggested Retail Price for these 101 images and 15 certificates:$ 15 .,15,15,$,-
5144,Newark Airport . The cost is $ 36 per person each way between the Four Points Sheraton and Newark Airport .,36,36,$,person
5145,VIEW ALL Butterfly Birdbath Dripper Sale Price : $ 49.95,49.95,49.95,$,-
5146,"COST:$ 2500 down and $ 200 per week for a total of $ 8,600 installed or Cash price of $ 8,100","8,600","8,600",$,week
5147,Eco Africa Embellishment - Ass't Paper Beads 2 RemainingAvg . Retail Price : $ 2.50 Our Price : $ 1.52,2.50,2.50,$,-
5148,"My blog is worth $ 128,715.12 .How much is your blog worth ?","128,715.12","128,715.12",$,-
5149,"worth more than $ 5 billion a year and providing more than 120,000 jobs .",5 billion,-,$,-
5150,Resource Planning system was developed by SAP at a cost of $ 38 million to track,38 million,38 million,$,-
5151,"Hydrogen Fuel : Production , Transport , and StorageAuthor : Ram B. GuptaList Price:$ 129.95 Buy New:$ 103.96 You Save:$ 25.99 ( 20 % )",129.95,129.95,$,-
5152,List Price : CDN$ 16.99 Amazon Price : CDN$ 8.50 Usually ships in 24 hoursAmazon Marketplace : CDN$ 8.49 Usually ships in 1 - 2 business days.http://ca.hanamoku.com/detail/ 0316346624.html[Amazon ],1,2,-,-
5153,charge you $ 0.0040 per minute for connected calls . NAT Penetration is not enabled on,0.0040,0.0040,$,minute
5154,Bvlgari Diagono Pro Terra Stainless Steel Mens Watch CH 40 SSDTAOur Price $ 190.00,190.00,190.00,$,-
5155,"of drawers was worth $ 100,000 before you refinished it .","100,000","100,000",$,-
5156,"Jet Engines : Fundamentals of Theory , Design and OperationAuthor : Klaus HuneckeList Price:$ 29.95 Buy Used:$ 15.00 You Save:$ 14.95 ( 50 % )",29.95,29.95,$,-
5157,"Iraq War May Cost US $ 1.9 Trillion ,",1.9 Trillion,1.9 Trillion,$,-
5158,"are worth upwards of $ 200,000 today , and they look exactly like any other penny .","200,000","200,000",$,-
5159,Price:$ 125.00 ( Item : SHEP- 898 ),125.00,125.00,$,-
5160,Snake Shaving CreamOur Price : $ 3.00 More DetailsBUY NOWA can of Cittelle Shave Foam with a surprise spring snake insidemakes a great joke item .,3.00,3.00,$,-
5161,"tenon . The set of four guides costs $ 99.95 , or $ 27.95 each . There are also",27.95,27.95,$,each
5162,"with average selling prices of $ 1,000 a seat for our design software .","1,000","1,000",$,-
5163,Low Cost Oscilloscope$ 149.95,149.95,149.95,$,-
5164,"axe w grip Regular Price : $ 89.95 Sale Price : $ 64.95 , Syncro trek pole . International orders 25 - 50 % Off , Winter Clearance",25,50,-,-
5165,medication is very affordable and typically costs less than $ 10,-,10,$,-
5166,Quintet Snake BoxOur Price : $ 3.10 More DetailsBUY NOWA beautiful nest of five boxes . A snake jumps out when the final box is opened .,five,five,-,-
5167,"Rogers have similar cards that use GSM frequencies and EDGE / GPRS , but no unlimited data plan . 500 MB per month cost $ 80 ,",80,80,$,month
5168,The charge is $ 3.00 per item . This will be added to your library,3.00,3.00,$,item
5169,Author : Ian PaisleyRetail Price : $ 24.99,24.99,24.99,$,-
5170,A South Korean doctor who accused an Los Angeles businessman of plagiarism has been convicted of defamation in his home country and ordered to pay a $ 750 fine .,750,750,$,-
5171,Rubbermaid ( Eldon)File Chest Self - Stacking Portable File ( 20935 ) Brand : RubbermaidList Price:$ 21.81 Buy New:$ 16.45 You Save:$ 5.36 ( 25 % ),21.81,21.81,$,-
5172,to the State 4 -H Council . Cost is approximately $ 150 .,150,150,$,-
5173,"Measures 11 "" H X 3.5 "" L X 8.5 "" W ( X 1453 ) - Reg . Price $ 35.00 - OUR PRICE - $ 18.75",18.75,18.75,$,-
5174,Sell for $ 1295.95,1295.95,1295.95,$,-
5175,Practice Book - Grammar Grade 6 Our Price : $ 2.99,2.99,2.99,$,-
5176,"Raids yield pot plants worth nearly $ 3 million Jun 14 , 2007",3 million,3 million,$,-
5177,to English Harbour will cost around $ 28 ( USD ) . A popular tourist,28,28,$,-
5178,"Companies ' Revenues , Stock Price & Change ( % ) In Jan. , 2009 : US Bancorp(USB ) Revenues $ 11.8(billion),Stock","11.8(billion),Stock","11.8(billion),Stock",$,-
5179,"DOT 330852008 Class AFleetwood Bounder 35 ENew 35 $ 138,039 Sale Price : $ 103,995","138,039","138,039",$,-
5180,African Stone Game Mancala 4 Player Game 16.5 Folding BoardOur Price : $ 31.89,31.89,31.89,$,-
5181,"Oh , it will make more money , because you have to pay $ 10 to see it instead of just turning on the cable .",10,10,$,-
5182,"Cost : $ 385 for one night , $ 450 for both nights , both include equipment and full Climbing Center membership & instruction",one,one,-,-
5183,price : $ 30 for two sessions,30,30,$,-
5184,Brand : LodgeList Price:$ 27.50 Buy New:$ 19.95 You Save:$ 7.55 ( 27 % ),27.50,27.50,$,-
5185,Clock Prices - $ 21.95 each,21.95,21.95,$,each
5186,"price to $ 0 , it will remove the download option , but I 'm not sure tricking our system to try to accomplish a",0,0,$,-
5187,Chevy TPI Fuel Injection Swapper 's Guide ( S - a Design)Author : John BaechtelList Price:$ 19.95 Buy New:$ 13.57 You Save:$ 6.38 ( 32 % ),19.95,19.95,$,-
5188,"Tumor Necrosis Factor costs over $ 10,000 a year and does not solve the problem . Read about less expensive options that work .","10,000","10,000",$,year
5189,Publisher : Paisano PublicationsCategory : MagazineList Price:$ 83.88 Buy New:$ 43.95 You Save:$ 39.93 ( 48 % ),83.88,83.88,$,-
5190,Price : $ 3.00 ea Now : $ 2.70 ea,3.00,3.00,$,-
5191,Quigley Down UnderDirector : Simon WincerList Price:$ 14.98 Buy New:$ 6.13 You Save:$ 8.85 ( 59 % ),14.98,14.98,$,-
5192,Fight over royalties could mean Nokia pays $ 252 million .,252 million,252 million,$,-
5193,"Doll Face Appliques , Quantity in Basket : None Code : 21 - 100 BL Price : $ 3.49 Shipping",21,100,-,-
5194,"Today , Granholm rode a Capital Area Transportation Authority ( CATA ) bus to her office - a ride that cost $ 1.25 .",1.25,1.25,$,-
5195,Sewing Kit 1 RemainingAvg . Retail Price : $ 15.00 Our Price : $ 8.93,15.00,15.00,$,-
5196,-Web Resultsshephat.com Estimated Worth $ 146 USD by websiteoutlookVergas Peludas,146,146,$,-
5197,"the art sampler . At a cost of $ 75,000 , owning a Fairlight was a dream","75,000","75,000",$,-
5198,Save $ 10 off of the price of Calendar Creator 10 Standard at Broderbund.com with coupon code 0190598035 .,10,10,$,-
5199,Viagra + Cialis - Price : $ 2.20,2.20,2.20,$,-
5200,BP to pay $ 373 million to end cases,373 million,373 million,$,-
5201,I Come in PeaceDirector : Craig R. BaxleyList Price:$ 14.98 Buy Used:$ 6.00 You Save:$ 8.98 ( 60 % ),14.98,14.98,$,-
5202,Federal Government Will Pay Out Over $ 20 Million to Utah Counties for Lost Tax Revenue ( 06 / 15 / 2007 ),20 Million,20 Million,$,-
